id,familia,ticker,arquitectura,rep,reintentos_proveedor,respuesta,cifra_dada,cifra_esperada,ratio_cifra,unidad,ejercicio,fuente,cita_dada,chunk_id,herramientas,n_llamadas,tokens_in,tokens_out,coste_usd,latencia_s,sin_respuesta,corrigio_cifra,corrigio_cita,reintentos_esquema,limite_alcanzado,n_busquedas,busquedas_con_ticker,busquedas_con_item,uso_read_section,cita,cifra,trayectoria,honestidad,acierto,recall5,pos_ancla
gX-011,extractiva,META,a1_guardrails,2,0,"En el MD&A (Item 7) de su informe 10-K para el ejercicio 2025, Meta anticipa realizar inversiones en capital (capital expenditures) de aproximadamente entre 115.000 millones y 135.000 millones de dólares en 2026 con el fin de respaldar sus esfuerzos en inteligencia artificial y su negocio principal.",,,,,2025,texto,We anticipate making capital expenditures of approximately $115 billion to $135 billion in 2026 to support our AI efforts and core business.,META-2025-7-0031,list_available → search_filings → get_xbrl_fact,3,12009,1951,0.016323,17.65631869994104,False,False,False,0,False,1,1,1,False,True,,True,,True,True,5.0
gX-012,extractiva,NVDA,a1_guardrails,2,0,"Al cierre del ejercicio fiscal 2025, NVIDIA realizó un análisis de sensibilidad sobre su cartera de inversión en renta fija determinando que desplazamientos paralelos en la curva de rendimiento de más o menos 0,5% (+/- 0,5%) resultarían en una variación en el valor razonable de dichas inversiones de 238 millones de dólares.",,,,,2025,texto,"According to our analysis, parallel shifts in the yield curve of plus or minus 0.5% would result in a change in fair value for these investments of $238 million.",NVDA-2025-7A-0000,list_available → search_filings,2,5785,1022,0.00817125,11.348116300068796,False,False,False,0,False,1,1,1,False,True,,True,,True,True,1.0
gX-013,comparativa,MSFT,a1_guardrails,2,0,"Los ingresos de Microsoft (RevenueFromContractWithCustomerExcludingAssessedTax) fueron de 245.122.000.000 USD en el ejercicio FY2024 y de 281.724.000.000 USD en FY2025. Esto representa un crecimiento de 36.602.000.000 USD, lo que equivale a un aumento aproximado del 14,93%.",281724000000.0,281724000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact,5,7408,1157,0.00989475,13.261386199854314,False,False,False,0,False,0,0,0,False,False,True,False,,False,True,1.0
gX-014,comparativa,NVDA,a1_guardrails,2,0,"El beneficio neto de NVIDIA aumentó en 43.120.000.000 USD (un incremento del 144,89%) entre FY2024 y FY2025, pasando de 29.760.000.000 USD en el ejercicio fiscal 2024 a 72.880.000.000 USD en el ejercicio fiscal 2025.",72880000000.0,72880000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact,3,5157,1078,0.00791025,11.214684800244868,False,False,False,0,False,0,0,0,False,False,True,False,,False,False,6.0
gX-015,comparativa,GOOGL,a1_guardrails,2,0,"Los ingresos de Alphabet crecieron en 52.818.000.000 USD (un incremento del 15,09%), pasando de 350.018.000.000 USD en FY2024 a 402.836.000.000 USD en FY2025.",402836000000.0,402836000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact,3,5973,983,0.008166,5.695263599976897,False,False,False,0,False,0,0,0,False,False,True,False,,False,False,9.0
gX-016,comparativa,META,a1_guardrails,2,0,"El beneficio neto de Meta bajó 1.902.000.000 USD (un descenso del 3,05%), pasando de 62.360.000.000 USD en FY2024 a 60.458.000.000 USD en FY2025, a pesar de que el resultado de explotación aumentó de 69.380.000.000 USD a 83.276.000.000 USD (+20,03%). La causa principal de la caída fue un fuerte incremento en la provisión por impuestos sobre la renta (que subió 17.171 millones de USD o un 207%), elevando el tipo impositivo efectivo del 12% al 30%. Este aumento fiscal se debió a la entrada en vigor de la ley ""One Big Beautiful Bill Act"" (OBBBA) en julio de 2025 y a los efectos del impuesto mínimo alternativo societario (CAMT), lo que provocó un cargo de 15.930 millones de USD en el tercer trimestre de 2025 (incluyendo una provisión por corrección valorativa de 14.030 millones de USD sobre activos por impuestos diferidos en EE. UU.).",60458000000.0,60458000000.0,1.0,USD,2025,ambas,"Our provision for income taxes in 2025 increased $17.17 billion or 207% compared to 2024, primarily due to an increase in the effective tax rate. Our effective tax rate in 2025 increased compared to 2024, mostly due to the effects of OBBBA.",META-2025-7-0028,list_available → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → search_filings,6,9555,1958,0.01450875,37.04592650011182,False,False,False,0,False,1,1,1,False,True,True,True,,True,False,14.0
gX-017,comparativa,AAPL,a1_guardrails,2,0,"Las ventas netas de Apple (RevenueFromContractWithCustomerExcludingAssessedTax) crecieron en 25.126.000.000 USD entre FY2024 y FY2025, lo que representa un aumento aproximado del 6,43%. En FY2024 fueron de 391.035.000.000 USD y en FY2025 alcanzaron los 416.161.000.000 USD.",416161000000.0,416161000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact,4,7277,1335,0.010464,16.083527999930084,False,False,False,0,False,0,0,0,False,False,True,False,,False,True,3.0
gX-018,comparativa,AMZN,a1_guardrails,2,0,"El flujo de caja de las actividades de explotación (operating cash flow) de Amazon pasó de 115.877.000.000 USD en FY2024 a 139.514.000.000 USD en FY2025, lo que representa un aumento de 23.637.000.000 USD (+20,40%).",139514000000.0,139514000000.0,1.0,USD,2025,xbrl,,,list_available → get_xbrl_fact → get_xbrl_fact,3,5168,990,0.0075885,10.099111900199205,False,False,False,0,False,0,0,0,False,False,True,False,,False,False,6.0
gX-019,comparativa,NVDA,a1_guardrails,2,0,"No, no significa que haya ganado menos por acción. En junio de 2024, NVIDIA realizó un desdoblamiento de acciones (stock split) de 10 por 1. El BPA diluido de 11,93 USD reportado para FY2024 era previo al split; ajustado retroactivamente por el split de 10 a 1, el BPA diluido de FY2024 fue de 1,19 USD. Por lo tanto, en términos homogéneos y comparables, el BPA diluido aumentó de 1,19 USD en FY2024 a 2,94 USD en FY2025 (un incremento del 147%), en consonancia con el aumento del beneficio neto de 29.760 a 72.880 millones de dólares.",2.94,2.94,1.0,USD/shares,2025,ambas,"In June 2024, we executed a ten-for-one stock split of our common stock. All share, equity award, and per share amounts and related shareholders' equity balances presented herein have been retroactively adjusted to reflect the Stock Split.",NVDA-2025-8-0015,list_available → get_xbrl_fact → get_xbrl_fact → search_filings → search_filings → search_filings,6,38930,4593,0.04642125,51.76396630005911,False,True,False,0,False,3,3,3,False,True,True,True,,True,True,2.0
gX-020,comparativa,META,a1_guardrails,2,0,"Los ingresos de Meta (RevenueFromContractWithCustomerExcludingAssessedTax) crecieron un 22,17% entre FY2024 y FY2025, pasando de 164.501.000.000 USD en FY2024 a 200.966.000.000 USD en FY2025 (un incremento absoluto de 36.465.000.000 USD).

En cuanto al reparto del crecimiento por regiones (según la geografía del usuario reportada en el Item 7), los ingresos aumentaron un 21% en Estados Unidos y Canadá, un 24% en Europa, un 20% en Asia-Pacífico y un 27% en el Resto del Mundo frente a 2024. Adicionalmente, por dirección del cliente (Nota 2, Item 8), los ingresos se distribuyeron en 2025 en: Estados Unidos y Canadá con 78.866 millones USD (+24,77%), Europa con 46.569 millones USD (+21,40%), Asia-Pacífico con 53.817 millones USD (+19,57%) y Resto del Mundo con 21.714 millones USD (+21,14%).",200966000000.0,200966000000.0,1.0,USD,2025,ambas,"In 2025, revenue increased by 21% in United States & Canada, 24% in Europe, 20% in Asia-Pacific, and 27% in Rest of World, in each case relative to 2024.",META-2025-7-0009,list_available → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → get_xbrl_fact → search_filings → search_filings,7,19071,2143,0.0223395,39.37616560002789,False,False,False,0,False,2,2,2,False,True,True,True,,True,False,14.0
