pregunta,modo,filtro,variante,posicion,acierto
gX-011,original,filtro,C,3,1
gX-012,original,filtro,C,1,1
gX-013,original,filtro,C,1,1
gX-014,original,filtro,C,5,1
gX-015,original,filtro,C,16,0
gX-016,original,filtro,C,14,0
gX-017,original,filtro,C,3,1
gX-018,original,filtro,C,5,1
gX-019,original,filtro,C,14,0
gX-020,original,filtro,C,16,0
gX-007,original,sin_filtro,C,319,0
gX-008,original,sin_filtro,C,4,1
gX-009,original,sin_filtro,C,3,1
gX-010,original,sin_filtro,C,1321,0
gX-011,original,sin_filtro,C,183,0
gX-012,original,sin_filtro,C,149,0
gX-013,original,sin_filtro,C,1,1
gX-014,original,sin_filtro,C,95,0
gX-015,original,sin_filtro,C,632,0
gX-016,original,sin_filtro,C,344,0
gX-017,original,sin_filtro,C,16,0
gX-018,original,sin_filtro,C,35,0
gX-019,original,sin_filtro,C,27,0
gX-020,original,sin_filtro,C,809,0
gX-007,original,filtro,D,8,0
gX-008,original,filtro,D,1,1
gX-009,original,filtro,D,1,1
gX-010,original,filtro,D,14,0
gX-011,original,filtro,D,4,1
gX-012,original,filtro,D,1,1
gX-013,original,filtro,D,1,1
gX-014,original,filtro,D,5,1
gX-015,original,filtro,D,16,0
gX-016,original,filtro,D,14,0
gX-017,original,filtro,D,3,1
gX-018,original,filtro,D,5,1
gX-019,original,filtro,D,13,0
gX-020,original,filtro,D,18,0
gX-007,original,sin_filtro,D,99,0
gX-008,original,sin_filtro,D,3,1
gX-009,original,sin_filtro,D,3,1
gX-010,original,sin_filtro,D,192,0
gX-011,original,sin_filtro,D,190,0
gX-012,original,sin_filtro,D,148,0
gX-013,original,sin_filtro,D,1,1
gX-014,original,sin_filtro,D,92,0
gX-015,original,sin_filtro,D,604,0
gX-016,original,sin_filtro,D,338,0
gX-017,original,sin_filtro,D,14,0
gX-018,original,sin_filtro,D,30,0
gX-019,original,sin_filtro,D,26,0
gX-020,original,sin_filtro,D,799,0
